"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/02", "355", "2.7", "25.5", "91.6", "26.7", "1011.0", "26.8", ""
"22/01/11", "166", "3.1", "25.6", "89.0", "27.0", "1011.3", "0.0", ""
"22/01/19", "147", "4.5", "27.1", "81.0", "30.2", "1007.7", "0.4", ""
"22/02/09", "113", "5.7", "28.5", "81.0", "33.7", "1009.7", "0.0", ""
"22/02/15", "139", "5.1", "27.4", "89.5", "31.9", "1004.3", "1.8", ""
"22/03/08", "114", "4.1", "27.4", "87.9", "31.6", "1008.7", "1.6", ""
"22/05/25", "287", "3.6", "28.6", "80.5", "33.7", "1008.4", "0.0", ""
"22/06/14", "246", "1.8", "27.4", "88.0", "31.7", "1005.5", "0.0", ""
"22/07/13", "276", "2.7", "27.3", "85.7", "31.0", "1005.4", "0.0", ""
"22/08/09", "287", "2.8", "28.5", "80.5", "33.5", "1006.6", "0.0", ""
"22/09/13", "251", "1.5", "26.4", "90.9", "29.1", "1009.9", "17.8", ""
"22/09/15", "261", "2.5", "26.3", "88.4", "28.7", "1009.7", "6.6", ""
"22/10/04", "83", "2.5", "28.1", "86.7", "33.6", "1007.9", "9.6", ""
"22/10/12", "294", "2.3", "27.4", "87.7", "31.5", "1009.7", "13.6", ""
"22/11/09", "319", "0.7", "26.9", "92.6", "30.8", "1010.0", "0.6", ""
"22/11/18", "289", "1.6", "26.0", "93.6", "28.2", "1008.8", "19.6", ""
"22/12/14", "115", "4.4", "26.3", "89.7", "28.7", "1006.8", "2.8", ""
"Average", "220", "3.0", "27.1", "87.3", "30.7", "1008.3", "", "-"
"Minimum", "", "", "25.5", "80.5", "26.7", "1004.3", "", "-"
"Day", "", "", "22/01/02", "22/08/09", "22/01/02", "22/02/15", "", ""
"Maximum", "113", "5.7", "28.6", "93.6", "33.7", "1011.3", "101.2", "-"
"Day", "", "22/02/09", "22/05/25", "22/11/18", "22/02/09", "22/01/11", "11 days", ""
