"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/11", "163", "1.1", "23.9", "79.9", "24.2", "1009.9", "0.0", ""
"22/01/12", "55", "1.5", "25.0", "82.5", "25.9", "1013.1", "0.0", ""
"22/01/14", "125", "2.0", "25.0", "81.4", "25.8", "1012.6", "8.8", ""
"22/01/21", "164", "2.5", "25.4", "85.3", "26.7", "1009.7", "10.0", ""
"22/02/04", "346", "2.5", "26.5", "82.6", "28.8", "1010.5", "0.0", ""
"22/02/09", "153", "2.8", "28.8", "76.9", "33.6", "1009.9", "0.0", ""
"22/02/10", "154", "2.2", "28.1", "79.9", "32.2", "1009.1", "0.0", ""
"22/02/13", "150", "2.7", "28.2", "78.8", "32.4", "1006.5", "0.0", ""
"22/02/14", "127", "3.2", "28.1", "78.9", "32.1", "1008.0", "0.0", ""
"22/02/15", "355", "2.0", "24.9", "90.8", "25.5", "1008.9", "2.0", ""
"22/02/16", "93", "1.4", "25.0", "93.1", "25.5", "1007.3", "0.4", ""
"22/02/17", "97", "2.3", "26.2", "88.9", "28.5", "1007.1", "24.6", ""
"22/03/06", "151", "3.6", "29.4", "79.6", "35.8", "1006.5", "0.0", ""
"22/03/11", "161", "2.5", "29.8", "75.6", "35.8", "1004.3", "0.0", ""
"22/03/18", "224", "3.7", "28.3", "78.4", "32.6", "1004.6", "0.0", ""
"22/04/10", "173", "2.2", "30.2", "68.9", "35.4", "1005.0", "0.0", ""
"22/04/11", "177", "2.2", "27.9", "81.0", "32.0", "1006.8", "0.0", ""
"22/04/13", "205", "3.1", "31.1", "64.7", "36.2", "1004.7", "0.0", ""
"22/04/15", "201", "2.9", "31.2", "63.0", "36.1", "1005.2", "0.0", ""
"22/04/17", "129", "3.3", "30.4", "72.3", "36.7", "1006.8", "0.0", ""
"22/04/18", "97", "4.8", "28.5", "79.1", "33.1", "1009.5", "0.0", ""
"22/04/24", "183", "4.0", "31.4", "69.5", "38.5", "1005.7", "0.0", ""
"22/04/29", "16", "2.6", "28.6", "79.8", "33.7", "1006.3", "0.0", ""
"22/05/02", "41", "4.2", "25.2", "78.5", "26.2", "1008.8", "0.0", ""
"22/05/11", "207", "1.9", "27.7", "88.6", "32.7", "1006.9", "0.4", ""
"22/05/23", "242", "3.8", "28.8", "74.0", "33.1", "1004.0", "0.0", ""
"22/05/29", "253", "4.9", "28.7", "73.1", "32.5", "1004.0", "0.0", ""
"22/06/01", "223", "2.6", "29.8", "74.5", "35.7", "1005.1", "0.0", ""
"22/06/13", "239", "3.1", "29.0", "77.4", "34.1", "1004.4", "0.0", ""
"22/06/15", "189", "2.6", "29.5", "75.2", "34.9", "1005.7", "0.0", ""
"22/06/29", "250", "4.6", "29.9", "72.8", "35.6", "1001.2", "0.0", ""
"22/07/07", "230", "3.4", "28.5", "77.2", "32.8", "1003.5", "0.0", ""
"22/07/13", "262", "4.1", "25.5", "88.7", "26.8", "1001.3", "6.4", ""
"22/07/19", "255", "5.1", "29.8", "73.9", "35.4", "1001.7", "0.2", ""
"22/07/24", "88", "2.3", "28.1", "81.9", "32.6", "1004.7", "0.0", ""
"22/08/02", "151", "2.5", "27.6", "88.2", "32.2", "1003.6", "0.0", ""
"22/08/08", "206", "2.2", "25.6", "93.2", "27.0", "1004.5", "28.8", ""
"22/08/12", "192", "2.0", "26.9", "88.9", "30.3", "1004.5", "3.0", ""
"22/08/15", "235", "4.3", "27.9", "86.2", "32.9", "1004.2", "2.4", ""
"22/09/13", "227", "2.2", "27.4", "86.7", "31.4", "1006.4", "27.8", ""
"22/09/15", "258", "4.2", "28.5", "78.4", "33.0", "1005.8", "0.2", ""
"22/09/16", "245", "3.1", "28.4", "79.8", "33.0", "1005.6", "0.0", ""
"22/09/18", "179", "1.8", "26.0", "93.4", "28.2", "1008.1", "19.6", ""
"22/09/19", "270", "5.2", "27.4", "77.9", "30.4", "1008.0", "0.0", ""
"22/09/20", "277", "7.5", "29.7", "72.5", "35.0", "1007.6", "0.2", ""
"22/09/22", "229", "2.2", "27.7", "84.9", "32.0", "1006.3", "2.2", ""
"22/09/26", "146", "0.6", "25.5", "97.5", "26.8", "1007.5", "3.0", ""
"22/09/28", "278", "5.1", "27.3", "83.3", "30.8", "1002.7", "7.6", ""
"22/09/29", "244", "2.0", "25.7", "94.9", "27.3", "1002.7", "3.4", ""
"22/10/12", "328", "1.9", "27.0", "86.1", "30.3", "1010.4", "0.0", ""
"22/11/10", "336", "2.8", "25.5", "79.8", "26.7", "1008.9", "0.0", ""
"22/11/11", "342", "2.9", "26.1", "79.1", "27.9", "1008.3", "0.0", ""
"22/11/18", "52", "1.3", "27.2", "87.3", "31.1", "1007.3", "0.0", ""
"22/11/25", "351", "2.0", "25.8", "92.4", "27.7", "1007.7", "20.4", ""
"22/11/28", "96", "0.8", "26.7", "91.6", "29.9", "1006.9", "1.2", ""
"22/12/15", "338", "2.5", "21.8", "82.2", "21.7", "1009.6", "0.0", ""
"Average", "199", "2.9", "27.6", "81.3", "31.2", "1006.5", "", "-"
"Minimum", "", "", "21.8", "63.0", "21.7", "1001.2", "", "-"
"Day", "", "", "22/12/15", "22/04/15", "22/12/15", "22/06/29", "", ""
"Maximum", "277", "7.5", "31.4", "97.5", "38.5", "1013.1", "172.6", "-"
"Day", "", "22/09/20", "22/04/24", "22/09/26", "22/04/24", "22/01/12", "21 days", ""
