"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/21", "0", "1.6", "25.4", "87.6", "26.6", "1007.1", "0.0", ""
"22/02/08", "0", "2.1", "27.1", "86.7", "30.5", "1007.3", "1.8", ""
"22/05/25", "0", "0.7", "23.3", "99.2", "21.1", "1005.9", "0.0", ""
"22/06/08", "194", "1.6", "26.7", "89.4", "29.8", "1005.7", "2.2", ""
"22/06/13", "181", "1.6", "28.1", "84.3", "33.0", "1005.4", "0.0", ""
"Average", "75", "1.5", "26.1", "89.4", "28.3", "1006.3", "", "-"
"Minimum", "", "", "23.3", "84.3", "21.1", "1005.4", "", "-"
"Day", "", "", "22/05/25", "22/06/13", "22/05/25", "22/06/13", "", ""
"Maximum", "0", "2.1", "28.1", "99.2", "33.0", "1007.3", "4.0", "-"
"Day", "", "22/02/08", "22/06/13", "22/05/25", "22/06/13", "22/02/08", "2 days", ""
