"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/02/05", "345", "3.0", "23.0", "79.7", "23.2", "1009.0", "0.0", ""
"22/02/10", "130", "1.8", "27.5", "81.7", "31.1", "1005.3", "0.0", ""
"22/02/18", "161", "2.6", "24.9", "94.5", "25.2", "1004.7", "0.4", ""
"22/03/24", "158", "2.5", "27.8", "83.9", "32.1", "1003.8", "1.2", ""
"22/05/11", "160", "2.3", "25.3", "95.8", "26.2", "1002.7", "9.4", ""
"22/06/13", "166", "2.1", "27.9", "83.6", "32.3", "1002.4", "0.0", ""
"22/07/05", "153", "2.8", "27.8", "84.5", "32.2", "1000.2", "0.0", ""
"22/07/10", "160", "2.7", "26.6", "88.1", "29.5", "1000.5", "12.8", ""
"22/07/12", "187", "2.5", "25.9", "92.4", "28.0", "999.2", "5.0", ""
"22/07/14", "128", "1.8", "25.6", "90.4", "27.1", "999.1", "0.2", ""
"22/07/19", "142", "2.2", "28.7", "82.2", "34.3", "999.6", "2.2", ""
"22/07/23", "0", "1.8", "27.4", "95.3", "32.5", "1006.5", "0.2", ""
"22/07/27", "0", "2.2", "28.8", "88.3", "35.9", "1002.6", "0.0", ""
"22/08/01", "0", "3.3", "25.2", "95.8", "25.9", "1000.6", "0.4", ""
"22/08/10", "0", "2.4", "26.9", "87.1", "30.3", "999.5", "19.4", ""
"22/08/17", "0", "4.2", "25.0", "99.2", "25.4", "1001.5", "0.0", ""
"22/08/23", "0", "1.5", "27.8", "83.2", "32.1", "1002.3", "0.0", ""
"22/09/10", "0", "2.5", "25.6", "43.4", "26.1", "1005.0", "19.0", ""
"22/09/13", "0", "2.1", "27.9", "64.9", "29.9", "1004.5", "0.0", ""
"22/09/17", "0", "3.5", "27.1", "39.4", "26.9", "1002.0", "5.6", ""
"22/09/23", "0", "1.4", "24.9", "46.1", "25.8", "1002.9", "1.6", ""
"22/09/27", "0", "1.7", "25.3", "43.5", "25.9", "1001.5", "0.4", ""
"22/10/14", "0", "1.4", "26.5", "61.1", "27.5", "1003.9", "0.0", ""
"22/11/05", "0", "1.8", "25.5", "34.0", "25.7", "1009.8", "0.0", ""
"22/11/08", "0", "1.6", "25.4", "38.0", "25.8", "1008.2", "0.2", ""
"22/11/12", "0", "2.6", "27.3", "39.5", "27.1", "1005.9", "0.0", ""
"22/11/17", "71", "1.5", "27.1", "47.5", "27.4", "1006.5", "0.0", ""
"22/11/22", "342", "1.9", "28.0", "29.4", "27.1", "1005.6", "0.0", ""
"22/12/01", "337", "2.3", "24.4", "0.5", "23.3", "1008.7", "0.2", ""
"22/12/04", "19", "1.8", "26.2", "31.2", "26.0", "1009.3", "0.2", ""
"22/12/06", "51", "2.2", "25.6", "54.0", "26.3", "1009.4", "0.0", ""
"22/12/07", "13", "1.5", "25.0", "34.3", "25.5", "1009.6", "0.0", ""
"22/12/10", "90", "0.3", "21.5", "0.6", "20.3", "1006.0", "0.0", ""
"22/12/13", "339", "1.6", "21.3", "22.9", "23.9", "1011.9", "0.0", ""
"22/12/14", "50", "1.8", "20.9", "47.0", "25.1", "1011.7", "0.0", ""
"22/12/15", "356", "2.2", "22.1", "28.6", "24.5", "1010.0", "0.0", ""
"22/12/17", "64", "4.3", "24.6", "61.2", "25.7", "1012.2", "0.0", ""
"22/12/18", "44", "3.1", "21.1", "55.6", "24.7", "1013.6", "0.0", ""
"22/12/19", "21", "2.1", "20.0", "30.8", "24.6", "1011.8", "0.0", ""
"22/12/20", "341", "2.2", "21.6", "28.2", "24.4", "1010.2", "0.0", ""
"22/12/21", "12", "1.9", "23.0", "27.4", "24.6", "1009.5", "0.0", ""
"22/12/22", "37", "1.3", "22.8", "29.8", "24.7", "1009.4", "0.0", ""
"22/12/23", "80", "2.0", "22.9", "38.2", "25.0", "1010.0", "0.0", ""
"22/12/24", "77", "1.9", "22.3", "44.8", "25.0", "1012.4", "0.0", ""
"22/12/25", "29", "1.9", "21.8", "29.7", "24.5", "1014.2", "0.0", ""
"22/12/27", "26", "1.5", "22.3", "27.5", "24.5", "1013.7", "0.0", ""
"22/12/28", "352", "1.5", "22.6", "26.9", "24.5", "1013.7", "0.0", ""
"22/12/30", "21", "2.1", "22.5", "31.4", "24.7", "1015.4", "0.0", ""
"Average", "97", "2.2", "24.9", "55.1", "25.9", "1006.6", "", "-"
"Minimum", "", "", "20.0", "0.5", "20.3", "999.1", "", "-"
"Day", "", "", "22/12/19", "22/12/01", "22/12/10", "22/07/14", "", ""
"Maximum", "64", "4.3", "28.8", "99.2", "35.9", "1015.4", "78.4", "-"
"Day", "", "22/12/17", "22/07/27", "22/08/17", "22/07/27", "22/12/30", "17 days", ""
