"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/01", "63", "4.7", "28.7", "62.9", "31.0", "1008.8", "0.0", ""
"22/01/02", "64", "5.3", "28.5", "65.3", "31.0", "1008.3", "0.0", ""
"22/01/03", "60", "3.4", "28.2", "71.4", "31.3", "1007.8", "4.4", ""
"22/01/04", "74", "2.7", "27.8", "74.9", "30.8", "1008.5", "0.6", ""
"22/01/05", "69", "2.4", "28.2", "73.8", "31.7", "1008.4", "0.4", ""
"22/01/06", "65", "3.1", "27.1", "75.6", "29.5", "1009.1", "0.0", ""
"22/01/11", "87", "5.5", "28.8", "63.2", "31.2", "1007.5", "0.0", ""
"22/01/12", "83", "5.4", "28.8", "60.4", "30.7", "1008.8", "0.0", ""
"22/01/13", "87", "4.6", "27.7", "62.0", "29.2", "1008.9", "0.0", ""
"22/01/14", "85", "4.9", "28.6", "58.5", "30.2", "1008.4", "0.0", ""
"22/01/15", "81", "4.8", "28.2", "58.9", "29.7", "1008.3", "0.0", ""
"22/01/16", "75", "3.4", "28.2", "64.8", "30.3", "1008.6", "0.0", ""
"22/01/17", "52", "4.3", "28.8", "62.9", "31.1", "1008.4", "0.0", ""
"22/01/18", "75", "3.4", "28.6", "67.9", "31.5", "1007.7", "4.0", ""
"22/01/19", "90", "3.2", "28.2", "69.7", "31.1", "1006.8", "0.0", ""
"22/01/20", "106", "3.4", "28.4", "68.7", "31.2", "1006.6", "0.0", ""
"22/01/21", "84", "3.1", "28.3", "70.9", "31.4", "1007.0", "0.0", ""
"22/01/22", "111", "2.9", "28.4", "69.3", "31.4", "1005.9", "0.0", ""
"22/01/23", "34", "2.1", "28.5", "68.4", "31.4", "1006.1", "0.0", ""
"22/01/24", "33", "2.5", "29.2", "65.5", "32.4", "1006.0", "0.0", ""
"22/01/25", "75", "3.1", "28.9", "67.6", "32.0", "1006.3", "0.0", ""
"22/01/26", "86", "2.8", "29.1", "67.6", "32.6", "1006.1", "0.0", ""
"22/01/27", "72", "2.7", "29.5", "66.9", "33.1", "1006.6", "0.0", ""
"22/01/28", "86", "2.9", "29.9", "67.4", "34.3", "1007.0", "0.0", ""
"22/01/29", "334", "2.6", "29.4", "71.3", "33.9", "1006.9", "0.0", ""
"22/01/30", "10", "2.2", "28.7", "71.2", "32.4", "1006.4", "0.0", ""
"22/01/31", "59", "3.7", "28.9", "72.3", "33.0", "1006.0", "7.4", ""
"22/02/01", "71", "2.7", "28.8", "69.7", "32.3", "1006.2", "0.2", ""
"22/02/02", "68", "3.0", "29.1", "66.9", "32.4", "1007.1", "0.0", ""
"22/02/03", "90", "3.2", "28.5", "72.9", "32.1", "1006.2", "0.0", ""
"22/02/04", "87", "3.4", "28.3", "72.8", "31.8", "1006.1", "4.8", ""
"22/02/05", "89", "6.5", "30.2", "57.2", "32.7", "1006.5", "0.0", ""
"22/02/06", "75", "3.2", "29.0", "67.3", "32.2", "1007.6", "0.0", ""
"22/02/07", "99", "2.9", "28.1", "63.4", "30.0", "1007.8", "35.8", ""
"22/02/08", "79", "2.3", "28.1", "67.6", "30.4", "1006.7", "14.2", ""
"22/02/09", "92", "2.2", "27.5", "67.2", "29.5", "1007.0", "5.0", ""
"22/02/10", "91", "3.6", "29.2", "65.3", "32.3", "1006.2", "0.0", ""
"22/02/11", "93", "1.8", "27.7", "71.6", "30.3", "1006.2", "0.6", ""
"22/02/12", "79", "2.3", "28.0", "68.8", "30.5", "1004.8", "5.8", ""
"22/02/13", "76", "2.8", "28.2", "74.3", "31.6", "1003.4", "19.0", ""
"22/02/14", "77", "3.6", "28.6", "74.3", "32.6", "1003.8", "5.2", ""
"22/02/15", "87", "4.6", "28.9", "72.9", "32.9", "1003.5", "0.0", ""
"22/02/16", "99", "2.9", "27.7", "78.7", "31.2", "1002.9", "17.0", ""
"22/02/17", "88", "3.9", "26.6", "83.9", "29.3", "1003.3", "3.0", ""
"22/02/18", "117", "3.2", "29.5", "71.3", "34.1", "1005.6", "0.0", ""
"22/02/19", "113", "3.2", "29.5", "73.2", "34.5", "1006.3", "0.0", ""
"22/02/20", "11", "2.0", "29.1", "70.9", "33.1", "1006.5", "0.0", ""
"22/02/21", "61", "3.1", "29.8", "66.3", "33.7", "1006.5", "0.0", ""
"22/02/22", "78", "3.1", "28.6", "70.6", "31.9", "1007.9", "8.2", ""
"22/02/23", "66", "3.4", "28.4", "72.5", "31.9", "1008.8", "1.0", ""
"22/02/24", "71", "3.5", "28.3", "71.3", "31.5", "1009.4", "0.2", ""
"22/02/25", "59", "3.8", "26.9", "76.2", "29.2", "1008.2", "4.0", ""
"22/02/26", "61", "4.3", "27.3", "73.1", "29.6", "1008.1", "0.0", ""
"22/02/27", "78", "6.2", "28.8", "65.1", "31.4", "1007.2", "0.0", ""
"22/02/28", "82", "4.5", "29.4", "62.0", "32.1", "1006.7", "0.0", ""
