"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/03", "338", "0.8", "20.1", "64.1", "24.0", "976.7", "0.0", ""
"22/01/14", "16", "1.3", "22.4", "65.9", "24.1", "975.6", "0.0", ""
"22/01/19", "10", "1.2", "19.4", "79.9", "21.1", "974.7", "15.8", ""
"22/01/31", "322", "1.8", "19.1", "54.7", "25.3", "971.1", "0.0", ""
"22/02/10", "358", "1.5", "21.3", "48.0", "25.0", "972.4", "0.0", ""
"22/02/11", "12", "1.4", "22.8", "55.0", "24.9", "971.5", "0.0", ""
"22/06/12", "164", "5.2", "25.2", "88.7", "26.1", "968.0", "93.8", ""
"22/08/12", "165", "1.1", "23.2", "95.3", "21.4", "969.5", "4.2", ""
"22/08/16", "154", "1.3", "26.6", "86.1", "29.3", "966.7", "2.4", ""
"22/12/12", "50", "1.0", "22.8", "73.4", "23.6", "974.2", "0.0", ""
"Average", "159", "1.6", "22.3", "71.1", "23.6", "972.1", "", "-"
"Minimum", "", "", "19.1", "48.0", "21.1", "966.7", "", "-"
"Day", "", "", "22/01/31", "22/02/10", "22/01/19", "22/08/16", "", ""
"Maximum", "164", "5.2", "26.6", "95.3", "29.3", "976.7", "116.2", "-"
"Day", "", "22/06/12", "22/08/16", "22/08/12", "22/08/16", "22/01/03", "4 days", ""
