"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/02", "65", "3.7", "25.3", "90.0", "26.4", "1008.6", "51.4", ""
"22/01/05", "80", "3.0", "26.8", "83.9", "29.5", "1008.5", "2.0", ""
"22/01/06", "334", "1.5", "24.9", "97.0", "25.1", "1009.4", "0.0", ""
"22/01/12", "95", "4.8", "27.0", "71.6", "29.0", "1009.8", "0.0", ""
"22/01/14", "89", "4.7", "26.8", "72.6", "28.7", "1009.5", "0.0", ""
"22/02/05", "81", "4.1", "27.8", "76.2", "31.1", "1009.6", "0.2", ""
"22/02/07", "69", "3.6", "27.8", "80.0", "31.6", "1009.9", "0.0", ""
"22/02/15", "108", "3.3", "26.6", "86.0", "29.4", "1005.6", "0.0", ""
"22/02/28", "67", "3.9", "27.3", "80.6", "30.6", "1009.7", "0.0", ""
"22/03/02", "71", "3.6", "28.1", "79.5", "32.2", "1009.8", "0.0", ""
"22/03/05", "2", "2.6", "27.9", "82.5", "32.2", "1009.2", "5.6", ""
"22/03/18", "71", "2.5", "29.1", "75.7", "34.2", "1003.4", "2.2", ""
"22/03/20", "8", "2.9", "29.2", "80.5", "35.5", "1004.4", "9.2", ""
"22/03/29", "89", "2.0", "28.0", "83.2", "32.7", "1007.7", "0.0", ""
"22/03/30", "78", "2.3", "29.3", "78.4", "35.1", "1007.9", "0.0", ""
"22/04/03", "16", "2.2", "26.0", "90.5", "28.1", "1009.5", "3.6", ""
"22/04/06", "35", "2.2", "27.2", "86.6", "31.0", "1008.3", "1.8", ""
"22/04/07", "99", "2.1", "27.9", "82.2", "32.2", "1007.2", "0.0", ""
"22/04/16", "142", "2.0", "28.9", "79.3", "34.4", "1003.6", "0.0", ""
"22/04/24", "92", "2.2", "29.4", "79.9", "35.9", "1003.7", "0.0", ""
"22/05/01", "146", "1.2", "26.0", "94.5", "28.1", "1005.5", "54.8", ""
"22/05/04", "132", "1.1", "26.2", "93.1", "28.8", "1007.0", "56.0", ""
"22/05/06", "133", "1.5", "26.7", "91.8", "29.9", "1002.3", "9.0", ""
"22/05/07", "105", "1.7", "27.3", "91.7", "31.8", "1002.4", "4.4", ""
"22/05/11", "130", "1.2", "26.4", "92.8", "29.3", "1006.8", "2.0", ""
"22/05/12", "213", "3.0", "29.3", "74.3", "34.4", "1007.4", "0.0", ""
"22/05/14", "115", "1.3", "28.1", "86.5", "33.5", "1008.1", "8.0", ""
"22/05/18", "132", "1.1", "27.9", "86.1", "32.8", "1009.1", "0.0", ""
"22/05/19", "184", "2.1", "29.2", "76.7", "34.7", "1009.1", "0.0", ""
"22/05/23", "184", "2.3", "28.8", "77.7", "33.7", "1006.1", "0.0", ""
"22/05/27", "195", "3.3", "28.9", "76.4", "33.8", "1006.6", "0.0", ""
