"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/18", "75", "3.1", "24.9", "53.2", "25.9", "1007.6", "0.0", ""
"22/01/22", "61", "1.4", "24.2", "82.0", "24.5", "1001.2", "22.8", ""
"22/02/10", "230", "0.9", "27.5", "69.1", "29.7", "1001.8", "0.2", ""
"22/02/20", "136", "4.0", "25.7", "72.2", "27.0", "1000.8", "0.6", ""
"22/03/04", "196", "1.4", "30.9", "53.8", "33.2", "1000.7", "0.0", ""
"22/03/20", "50", "1.4", "27.8", "71.2", "30.5", "999.6", "1.4", ""
"22/04/13", "211", "1.7", "29.3", "65.7", "32.6", "996.9", "0.4", ""
"22/04/27", "231", "1.8", "31.4", "62.4", "36.5", "997.6", "0.0", ""
"22/04/28", "214", "2.9", "28.3", "73.4", "31.7", "999.6", "12.0", ""
"22/05/16", "111", "2.3", "28.1", "76.1", "31.7", "1001.9", "30.8", ""
"22/06/02", "225", "2.3", "29.4", "70.8", "33.7", "997.7", "2.0", ""
"22/06/16", "244", "2.0", "28.8", "69.7", "32.1", "1000.8", "0.0", ""
"22/07/14", "206", "1.1", "27.4", "76.7", "30.3", "995.6", "0.0", ""
"22/08/14", "210", "1.3", "28.9", "73.4", "33.2", "999.7", "0.0", ""
"22/09/20", "262", "1.8", "28.5", "72.9", "32.1", "998.9", "0.2", ""
"22/09/27", "297", "1.3", "28.8", "70.2", "32.2", "998.4", "0.2", ""
"22/09/28", "212", "1.4", "24.4", "90.7", "24.4", "994.4", "40.6", ""
"22/10/10", "47", "1.7", "25.4", "72.2", "26.6", "1007.2", "0.0", ""
"22/10/13", "81", "1.5", "26.2", "67.9", "27.5", "1004.5", "0.0", ""
"22/10/16", "26", "1.1", "24.4", "66.5", "25.4", "1006.1", "0.0", ""
"22/10/17", "0", "0.3", "21.6", "82.7", "21.4", "1005.2", "0.0", ""
"22/11/07", "29", "1.0", "25.2", "64.1", "26.2", "1004.9", "0.0", ""
"22/11/08", "24", "1.5", "24.7", "62.7", "25.7", "1005.0", "0.0", ""
"22/11/11", "57", "1.4", "26.9", "66.0", "28.3", "1003.4", "0.0", ""
"22/12/03", "55", "0.0", "26.2", "65.9", "27.4", "1004.9", "0.0", ""
"22/12/20", "49", "1.6", "21.6", "60.9", "24.3", "1003.7", "0.0", ""
"22/12/21", "61", "1.9", "23.3", "63.4", "24.7", "1003.3", "0.0", ""
"22/12/22", "57", "1.8", "22.4", "63.5", "24.3", "1003.3", "0.0", ""
"22/12/23", "64", "3.4", "25.4", "48.8", "26.1", "1004.0", "0.0", ""
"Average", "128", "1.7", "26.5", "68.6", "27.9", "1001.7", "", "-"
"Minimum", "", "", "21.6", "48.8", "21.4", "994.4", "", "-"
"Day", "", "", "22/12/20", "22/12/23", "22/10/17", "22/09/28", "", ""
"Maximum", "136", "4.0", "31.4", "90.7", "36.5", "1007.6", "111.2", "-"
"Day", "", "22/02/20", "22/04/27", "22/09/28", "22/04/27", "22/01/18", "11 days", ""
