"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/03", "293", "1.6", "22.8", "74.0", "23.6", "977.4", "0.0", ""
"22/01/13", "318", "1.6", "25.2", "76.9", "26.2", "976.7", "0.0", ""
"22/01/18", "358", "1.5", "23.9", "82.5", "24.0", "976.4", "0.0", ""
"22/01/20", "289", "1.5", "23.1", "85.0", "22.6", "973.4", "0.4", ""
"22/01/21", "299", "1.8", "23.7", "84.1", "23.7", "972.8", "0.2", ""
"22/01/24", "325", "1.9", "23.0", "65.4", "24.5", "973.7", "0.0", ""
"22/01/25", "279", "2.3", "23.6", "66.2", "24.8", "973.8", "0.0", ""
"22/01/31", "284", "3.2", "23.0", "47.2", "25.1", "971.2", "0.0", ""
"22/02/13", "329", "2.1", "25.1", "48.5", "25.9", "970.1", "0.0", ""
"22/02/18", "285", "1.4", "26.4", "86.6", "28.9", "971.3", "11.0", ""
"22/02/19", "79", "1.4", "24.9", "93.0", "25.4", "971.1", "43.6", ""
"22/02/20", "20", "2.1", "24.9", "82.7", "25.7", "970.1", "0.0", ""
"22/03/01", "338", "2.1", "27.5", "61.9", "28.9", "974.3", "0.0", ""
"22/03/05", "341", "2.4", "29.4", "61.5", "32.0", "970.6", "0.0", ""
"22/03/08", "315", "1.4", "26.5", "78.6", "28.6", "972.8", "0.0", ""
"22/03/13", "328", "1.9", "30.9", "67.4", "36.5", "970.0", "0.0", ""
"22/03/14", "309", "2.3", "31.2", "60.9", "35.6", "970.2", "0.0", ""
"22/03/25", "297", "1.9", "29.0", "68.5", "32.4", "971.7", "0.0", ""
"22/03/28", "132", "1.9", "28.9", "70.3", "32.6", "971.9", "0.0", ""
"22/04/17", "335", "2.5", "29.9", "69.7", "34.8", "970.5", "1.2", ""
"22/04/19", "280", "1.8", "27.0", "80.6", "29.8", "974.8", "10.6", ""
"22/04/22", "311", "1.8", "28.9", "75.4", "33.4", "971.2", "0.2", ""
"22/04/23", "311", "2.3", "30.3", "68.9", "35.5", "970.3", "0.0", ""
"22/04/24", "284", "2.1", "31.3", "65.9", "37.2", "968.7", "0.0", ""
"22/04/25", "272", "2.0", "31.5", "65.3", "37.5", "968.7", "0.0", ""
