"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/06/13", "217", "1.0", "28.1", "83.9", "33.1", "1008.2", "0.0", ""
"22/07/12", "261", "3.0", "26.9", "80.1", "29.5", "1007.2", "0.2", ""
"22/08/01", "212", "4.2", "27.0", "85.5", "30.4", "1005.2", "0.0", ""
"22/08/22", "216", "1.1", "26.7", "81.8", "29.1", "1008.1", "0.4", ""
"22/09/28", "247", "2.0", "26.7", "87.3", "29.6", "1005.7", "3.4", ""
"22/10/04", "20", "1.2", "26.8", "81.4", "29.4", "1008.8", "15.4", ""
"22/11/07", "313", "0.5", "25.1", "97.7", "25.6", "1011.5", "9.4", ""
"22/12/12", "357", "2.4", "25.2", "95.2", "26.0", "1009.4", "36.2", ""
"22/12/21", "3", "2.8", "27.2", "36.2", "26.8", "1008.9", "0.0", ""
"Average", "205", "2.0", "26.6", "81.0", "29.0", "1008.1", "", "-"
"Minimum", "", "", "25.1", "36.2", "25.6", "1005.2", "", "-"
"Day", "", "", "22/11/07", "22/12/21", "22/11/07", "22/08/01", "", ""
"Maximum", "212", "4.2", "28.1", "97.7", "33.1", "1011.5", "65.0", "-"
"Day", "", "22/08/01", "22/06/13", "22/11/07", "22/06/13", "22/11/07", "6 days", ""
