"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/12", "96", "1.6", "27.3", "65.2", "28.9", "1010.8", "0.0", ""
"22/01/22", "118", "1.7", "25.6", "82.4", "27.0", "1005.4", "1.0", ""
"22/02/09", "126", "1.9", "28.1", "77.1", "31.9", "1007.6", "0.0", ""
"22/02/13", "124", "1.8", "28.2", "75.1", "31.8", "1004.3", "0.2", ""
"22/03/08", "60", "1.5", "27.4", "76.3", "30.2", "1007.4", "0.2", ""
"22/03/09", "30", "1.7", "30.1", "68.4", "34.9", "1005.8", "0.0", ""
"22/03/18", "121", "2.1", "26.8", "76.1", "28.9", "1006.4", "93.6", ""
"22/03/27", "158", "2.1", "30.4", "74.0", "37.0", "1008.2", "0.4", ""
"22/04/07", "45", "2.1", "28.2", "59.0", "29.6", "1010.3", "0.0", ""
"22/04/13", "169", "2.7", "31.8", "60.9", "36.9", "1004.3", "0.0", ""
"22/04/16", "164", "3.1", "32.5", "59.9", "38.1", "1004.8", "0.0", ""
"22/04/28", "181", "3.4", "29.8", "67.6", "34.0", "1006.7", "20.4", ""
"22/05/07", "53", "2.0", "27.5", "71.1", "29.8", "1004.6", "12.2", ""
"22/05/11", "188", "2.3", "29.3", "79.5", "35.4", "1004.5", "0.0", ""
"22/05/17", "109", "2.2", "29.0", "68.1", "32.4", "1005.3", "68.4", ""
"22/06/10", "196", "2.7", "29.3", "56.7", "31.0", "1006.3", "0.0", ""
"22/06/15", "118", "1.9", "28.1", "88.2", "33.8", "1007.6", "27.0", ""
"22/06/30", "244", "3.7", "30.3", "68.1", "35.4", "1002.3", "0.2", ""
"22/07/13", "236", "2.8", "26.6", "79.6", "28.8", "1002.8", "2.8", ""
"22/07/15", "147", "2.1", "29.6", "75.7", "35.4", "1004.1", "3.0", ""
"22/07/20", "193", "2.6", "28.2", "75.6", "32.0", "1003.9", "32.8", ""
"22/08/05", "207", "2.7", "28.3", "74.6", "31.9", "1005.6", "0.0", ""
"22/08/10", "238", "4.4", "30.0", "66.7", "34.3", "1003.5", "0.0", ""
"22/09/05", "197", "2.4", "27.5", "84.7", "31.5", "1006.7", "2.6", ""
"22/09/14", "184", "2.1", "27.8", "82.3", "31.9", "1008.4", "18.4", ""
"22/09/23", "67", "1.8", "28.2", "82.3", "33.0", "1006.1", "0.8", ""
"22/10/04", "48", "2.1", "29.0", "77.5", "34.2", "1008.7", "0.0", ""
"22/10/16", "353", "3.1", "24.2", "78.7", "24.7", "1010.8", "0.0", ""
"22/10/31", "43", "2.3", "27.7", "68.2", "29.9", "1009.2", "0.0", ""
"22/11/10", "347", "2.5", "28.8", "63.4", "31.1", "1010.3", "0.0", ""
"22/11/11", "14", "3.1", "29.6", "63.4", "32.7", "1009.7", "0.0", ""
"22/11/12", "8", "3.2", "30.2", "63.0", "33.8", "1008.7", "0.0", ""
"22/12/07", "31", "2.5", "27.8", "71.6", "30.4", "1009.2", "3.2", ""
"22/12/15", "13", "1.9", "24.7", "64.0", "25.8", "1009.7", "0.0", ""
"22/12/20", "1", "2.9", "24.6", "57.3", "25.7", "1009.9", "0.0", ""
"Average", "132", "2.4", "28.4", "71.5", "31.6", "1006.9", "", "-"
"Minimum", "", "", "24.2", "56.7", "24.7", "1002.3", "", "-"
"Day", "", "", "22/10/16", "22/06/10", "22/10/16", "22/06/30", "", ""
"Maximum", "238", "4.4", "32.5", "88.2", "38.1", "1010.8", "287.2", "-"
"Day", "", "22/08/10", "22/04/16", "22/06/15", "22/04/16", "22/10/16", "17 days", ""
