"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/04", "320", "1.9", "25.9", "92.3", "27.8", "1009.7", "15.2", ""
"22/01/23", "166", "2.6", "27.1", "83.1", "30.3", "1009.4", "0.0", ""
"22/01/30", "109", "2.3", "28.4", "81.5", "33.5", "1009.5", "0.0", ""
"22/02/01", "14", "2.6", "27.0", "81.5", "29.9", "1009.8", "0.0", ""
"22/02/09", "117", "2.7", "27.6", "85.6", "31.9", "1008.3", "1.4", ""
"22/02/11", "211", "3.0", "27.3", "83.1", "30.9", "1007.3", "0.0", ""
"22/02/12", "349", "2.3", "27.7", "80.7", "31.4", "1006.0", "0.0", ""
"22/02/19", "32", "2.1", "28.3", "86.6", "34.0", "1007.3", "0.0", ""
"22/02/21", "268", "2.3", "27.4", "85.7", "31.3", "1007.8", "0.0", ""
"22/02/25", "284", "2.1", "24.2", "99.8", "23.1", "1009.9", "43.6", ""
"22/03/03", "292", "2.6", "27.8", "85.5", "32.4", "1008.6", "2.8", ""
"22/03/23", "327", "2.0", "28.1", "85.5", "33.4", "1007.2", "0.2", ""
"22/04/03", "317", "3.0", "25.9", "92.8", "27.8", "1008.4", "44.2", ""
"22/04/06", "344", "2.0", "27.5", "89.8", "32.1", "1009.3", "3.0", ""
"22/04/17", "286", "2.0", "28.5", "83.0", "33.9", "1005.4", "0.0", ""
"22/05/03", "296", "1.9", "27.3", "92.0", "31.8", "1006.5", "9.4", ""
"22/05/04", "329", "2.1", "27.2", "92.3", "31.7", "1007.7", "6.0", ""
"22/05/05", "296", "1.8", "26.9", "93.7", "30.8", "1006.1", "7.0", ""
"22/05/06", "271", "1.9", "26.4", "96.7", "29.6", "1005.7", "50.8", ""
"22/05/07", "221", "2.0", "26.7", "95.7", "30.5", "1005.8", "55.8", ""
"22/05/08", "312", "2.0", "26.4", "95.5", "29.5", "1006.2", "44.4", ""
"22/05/10", "347", "1.3", "27.9", "92.2", "33.9", "1007.4", "2.0", ""
"22/05/16", "164", "2.1", "29.0", "82.9", "35.5", "1008.5", "0.2", ""
"22/05/25", "60", "2.0", "29.8", "76.7", "36.1", "1009.0", "0.0", ""
"22/06/02", "134", "1.7", "29.8", "76.8", "36.2", "1007.1", "0.0", ""
"22/06/06", "235", "2.3", "28.2", "84.1", "33.3", "1007.7", "11.4", ""
"22/06/08", "261", "1.9", "28.2", "81.5", "32.9", "1008.0", "0.0", ""
"22/06/25", "217", "1.7", "26.7", "88.7", "29.7", "1006.7", "54.4", ""
"22/07/12", "317", "4.3", "27.6", "77.9", "30.9", "1005.7", "2.6", ""
"22/07/20", "108", "1.9", "27.0", "91.0", "31.0", "1006.8", "45.0", ""
"22/07/21", "100", "1.9", "28.9", "83.3", "35.2", "1008.4", "0.0", ""
"22/08/08", "340", "1.8", "29.4", "78.1", "35.3", "1005.2", "0.0", ""
"22/08/18", "80", "1.9", "28.9", "82.1", "35.0", "1005.6", "1.8", ""
"22/08/30", "337", "1.8", "28.4", "84.1", "33.8", "1006.1", "0.0", ""
"22/09/04", "62", "1.8", "28.6", "84.3", "34.6", "1006.2", "3.6", ""
"22/09/05", "46", "1.3", "27.8", "88.4", "32.9", "1006.6", "0.4", ""
"22/09/07", "74", "1.8", "26.6", "89.6", "29.7", "1007.4", "20.2", ""
"22/09/08", "63", "1.7", "28.3", "79.9", "32.9", "1007.8", "0.0", ""
"22/09/10", "145", "2.5", "28.2", "82.2", "33.1", "1007.6", "55.8", ""
"22/09/14", "27", "1.7", "28.6", "77.4", "33.1", "1008.6", "0.0", ""
"22/10/26", "332", "1.8", "28.5", "83.1", "34.1", "1008.9", "0.0", ""
"22/11/01", "346", "3.2", "27.8", "83.4", "32.1", "1009.1", "40.6", ""
"22/11/02", "342", "2.5", "27.4", "80.8", "30.7", "1008.9", "0.0", ""
"22/11/03", "341", "2.3", "27.5", "78.9", "30.7", "1009.8", "0.0", ""
"22/11/04", "319", "1.9", "24.9", "95.3", "25.4", "1011.0", "23.6", ""
"22/11/07", "300", "1.8", "25.7", "95.4", "27.5", "1011.2", "6.2", ""
"22/11/22", "289", "1.5", "26.3", "91.8", "28.9", "1007.0", "7.4", ""
"22/12/24", "68", "3.9", "27.4", "71.8", "29.8", "1011.1", "0.4", ""
"22/12/25", "29", "2.9", "26.7", "77.5", "28.9", "1012.8", "0.0", ""
"22/12/26", "349", "1.7", "25.9", "80.9", "27.5", "1013.4", "0.0", ""
"22/12/27", "348", "2.1", "25.7", "80.1", "27.2", "1013.5", "0.0", ""
"22/12/30", "335", "2.0", "25.3", "80.6", "26.3", "1014.2", "0.0", ""
"Average", "225", "2.2", "27.4", "85.5", "31.4", "1008.3", "", "-"
"Minimum", "", "", "24.2", "71.8", "23.1", "1005.2", "", "-"
"Day", "", "", "22/02/25", "22/12/24", "22/02/25", "22/08/08", "", ""
"Maximum", "317", "4.3", "29.8", "99.8", "36.2", "1014.2", "559.4", "-"
"Day", "", "22/07/12", "22/06/02", "22/02/25", "22/06/02", "22/12/30", "29 days", ""
