"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/11", "183", "1.8", "23.7", "73.1", "24.4", "986.2", "0.0", ""
"22/02/09", "278", "2.2", "24.3", "71.2", "25.1", "986.0", "0.0", ""
"22/02/23", "226", "2.1", "25.0", "71.4", "25.9", "988.2", "0.0", ""
"22/03/09", "126", "1.6", "25.3", "89.3", "26.3", "982.7", "0.0", ""
"22/03/30", "200", "2.7", "29.1", "68.6", "32.6", "983.4", "0.0", ""
"22/04/13", "224", "4.1", "29.5", "67.7", "33.4", "980.5", "0.0", ""
"22/04/20", "171", "3.4", "28.8", "68.6", "32.0", "983.5", "0.0", ""
"22/04/24", "235", "3.7", "31.0", "63.7", "35.9", "980.8", "0.0", ""
"22/04/27", "234", "2.9", "31.6", "64.8", "37.6", "980.6", "0.0", ""
"22/05/05", "167", "3.2", "27.6", "80.1", "31.0", "981.4", "2.0", ""
"22/05/11", "267", "3.0", "28.0", "85.5", "32.9", "981.8", "3.8", ""
"22/05/17", "194", "3.4", "28.1", "82.2", "32.6", "982.3", "0.0", ""
"22/06/02", "236", "2.8", "28.4", "82.7", "33.6", "980.4", "1.0", ""
"22/06/03", "195", "2.7", "27.6", "87.1", "32.0", "981.1", "1.4", ""
"22/06/05", "237", "3.4", "27.1", "83.7", "30.4", "981.5", "0.2", ""
"22/06/11", "277", "2.7", "26.6", "91.1", "29.6", "982.1", "4.4", ""
"22/06/15", "210", "3.0", "28.0", "82.2", "32.6", "983.0", "0.0", ""
"22/06/18", "224", "3.2", "26.5", "87.1", "29.1", "983.5", "5.0", ""
"22/06/26", "315", "1.9", "26.0", "92.2", "28.1", "982.1", "28.0", ""
"22/07/13", "204", "2.7", "25.0", "93.3", "25.4", "978.4", "6.0", ""
"22/07/23", "145", "2.2", "26.9", "88.9", "30.5", "982.3", "3.2", ""
"22/07/29", "164", "3.6", "28.0", "83.1", "32.5", "981.0", "0.0", ""
"22/07/30", "199", "3.3", "28.8", "82.4", "34.6", "980.0", "0.0", ""
"22/08/05", "222", "2.8", "25.4", "92.7", "26.6", "980.6", "9.0", ""
"22/08/09", "237", "2.7", "25.3", "93.5", "26.2", "980.2", "26.4", ""
"22/09/06", "279", "2.3", "27.6", "89.2", "32.5", "981.8", "18.0", ""
"22/09/11", "308", "1.6", "24.8", "95.1", "25.0", "984.0", "4.0", ""
"22/09/14", "217", "3.5", "27.2", "84.0", "30.5", "984.0", "0.4", ""
"22/10/04", "57", "5.2", "27.6", "81.4", "31.4", "984.0", "0.2", ""
"22/10/11", "86", "3.8", "26.6", "79.6", "28.9", "986.2", "0.0", ""
"22/10/23", "61", "4.5", "27.8", "74.3", "30.7", "985.7", "0.0", ""
"22/10/27", "106", "1.7", "24.9", "96.4", "25.3", "984.7", "46.8", ""
"22/11/10", "106", "3.0", "24.4", "76.2", "25.1", "986.8", "0.0", ""
"22/12/04", "58", "3.8", "26.6", "80.3", "28.9", "985.0", "0.0", ""
"22/12/14", "69", "4.4", "22.5", "76.5", "23.1", "987.1", "0.0", ""
"22/12/23", "91", "1.9", "24.8", "75.4", "25.7", "984.6", "0.2", ""
"Average", "189", "3.0", "26.8", "81.5", "29.5", "983.0", "", "-"
"Minimum", "", "", "22.5", "63.7", "23.1", "978.4", "", "-"
"Day", "", "", "22/12/14", "22/04/24", "22/12/14", "22/07/13", "", ""
"Maximum", "57", "5.2", "31.6", "96.4", "37.6", "988.2", "160.0", "-"
"Day", "", "22/10/04", "22/04/27", "22/10/27", "22/04/27", "22/02/23", "18 days", ""
