"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/02/04", "7", "4.2", "23.4", "66.7", "24.6", "997.8", "0.0", ""
"22/05/25", "195", "1.9", "28.8", "80.4", "34.2", "991.2", "0.2", ""
"22/06/06", "203", "2.4", "29.0", "79.3", "34.6", "990.9", "0.0", ""
"22/08/14", "205", "2.4", "27.2", "85.4", "30.9", "991.5", "46.6", ""
"22/08/17", "161", "2.5", "26.7", "87.2", "29.6", "992.1", "13.8", ""
"22/09/28", "242", "6.4", "23.0", "99.5", "20.4", "981.4", "185.4", ""
"22/09/29", "141", "2.4", "24.6", "96.6", "24.3", "989.0", "23.2", ""
"22/10/02", "94", "1.6", "25.4", "94.2", "26.6", "992.3", "79.0", ""
"Average", "156", "3.0", "26.0", "86.2", "27.9", "990.8", "", "-"
"Minimum", "", "", "23.0", "66.7", "20.4", "981.4", "", "-"
"Day", "", "", "22/09/28", "22/02/04", "22/09/28", "22/09/28", "", ""
"Maximum", "242", "6.4", "29.0", "99.5", "34.6", "997.8", "348.2", "-"
"Day", "", "22/09/28", "22/06/06", "22/09/28", "22/06/06", "22/02/04", "6 days", ""
