"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/02/28", "277", "0.8", "26.5", "67.3", "27.8", "987.6", "0.8", ""
"22/04/29", "99", "1.8", "29.2", "68.3", "32.8", "983.9", "0.0", ""
"22/05/08", "117", "2.0", "28.3", "74.7", "32.1", "985.0", "2.6", ""
"22/11/26", "169", "0.9", "24.8", "86.4", "25.5", "986.1", "0.6", ""
"22/11/29", "198", "0.6", "25.8", "84.7", "27.3", "986.6", "0.2", ""
"Average", "172", "1.2", "26.9", "76.3", "29.2", "985.8", "", "-"
"Minimum", "", "", "24.8", "67.3", "25.5", "983.9", "", "-"
"Day", "", "", "22/11/26", "22/02/28", "22/11/26", "22/04/29", "", ""
"Maximum", "117", "2.0", "29.2", "86.4", "32.8", "987.6", "4.2", "-"
"Day", "", "22/05/08", "22/04/29", "22/11/26", "22/04/29", "22/02/28", "4 days", ""
