"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/12", "43", "2.5", "26.4", "79.2", "28.4", "1011.3", "0.0", ""
"22/02/09", "92", "2.1", "27.9", "84.3", "32.5", "1008.6", "0.0", ""
"22/02/28", "61", "2.1", "28.2", "81.5", "32.8", "1009.2", "0.0", ""
"22/03/03", "46", "1.5", "27.4", "89.6", "31.8", "1008.7", "0.6", ""
"22/03/24", "75", "2.3", "28.0", "86.9", "33.1", "1006.9", "0.0", ""
"22/04/28", "214", "2.4", "28.8", "87.1", "35.7", "1005.4", "10.4", ""
"22/05/11", "83", "1.4", "28.4", "89.2", "34.7", "1005.7", "5.8", ""
"22/06/17", "58", "2.1", "29.3", "84.4", "36.5", "1006.8", "0.0", ""
"22/07/13", "2", "2.3", "25.8", "91.3", "27.7", "1002.2", "21.8", ""
"22/08/09", "22", "2.1", "27.1", "92.8", "31.2", "1003.8", "1.8", ""
"22/09/15", "45", "1.8", "26.1", "97.3", "28.6", "0.0", "50.8", ""
"22/10/12", "23", "1.6", "26.4", "88.4", "28.9", "0.0", "3.6", ""
"22/11/28", "32", "0.9", "24.5", "99.3", "23.9", "1007.7", "0.2", ""
"22/12/19", "330", "2.6", "21.9", "71.3", "23.4", "1006.4", "0.0", ""
"Average", "80", "2.0", "26.9", "87.3", "30.1", "863.0", "", "-"
"Minimum", "", "", "21.9", "71.3", "23.4", "0.0", "", "-"
"Day", "", "", "22/12/19", "22/12/19", "22/12/19", "22/09/15", "", ""
"Maximum", "330", "2.6", "29.3", "99.3", "36.5", "1011.3", "95.0", "-"
"Day", "", "22/12/19", "22/06/17", "22/11/28", "22/06/17", "22/01/12", "8 days", ""
