"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/03", "34", "4.6", "23.0", "72.9", "23.9", "999.3", "0.0", ""
"22/01/04", "18", "2.5", "22.8", "77.0", "23.2", "998.4", "0.0", ""
"22/01/23", "80", "0.1", "23.7", "88.4", "23.3", "993.9", "0.0", ""
"22/01/26", "77", "0.1", "26.2", "65.6", "27.4", "994.9", "0.0", ""
"22/01/27", "71", "0.3", "26.6", "60.2", "27.6", "995.2", "0.0", ""
"22/01/30", "73", "2.5", "26.4", "68.9", "27.9", "993.6", "0.0", ""
"22/02/07", "89", "0.8", "25.8", "72.2", "27.0", "995.2", "0.0", ""
"22/02/16", "9", "1.0", "22.1", "91.3", "20.3", "993.4", "0.8", ""
"22/02/18", "84", "0.1", "29.5", "70.6", "34.1", "992.6", "0.0", ""
"22/03/06", "162", "1.6", "30.3", "66.5", "34.8", "993.5", "0.8", ""
"22/03/08", "47", "5.2", "24.7", "67.8", "25.6", "996.0", "0.0", ""
"22/03/09", "59", "2.4", "26.8", "61.6", "28.0", "994.1", "0.0", ""
"22/03/24", "82", "0.8", "26.0", "91.9", "28.2", "992.9", "31.4", ""
"22/03/26", "216", "0.2", "28.0", "83.8", "32.8", "994.0", "0.8", ""
"22/04/09", "60", "0.2", "27.0", "53.5", "27.6", "993.8", "0.0", ""
"22/04/13", "137", "0.6", "29.2", "74.6", "34.1", "989.5", "0.4", ""
"22/05/12", "215", "0.8", "27.2", "92.1", "31.6", "990.5", "2.8", ""
"22/05/27", "159", "1.6", "27.8", "87.8", "32.6", "986.7", "0.6", ""
"22/05/29", "211", "0.7", "28.9", "81.3", "34.8", "988.2", "0.4", ""
"22/06/15", "245", "0.7", "27.0", "84.5", "30.2", "993.5", "1.0", ""
"22/07/02", "217", "1.4", "27.0", "91.2", "31.0", "986.3", "25.6", ""
"22/07/05", "206", "1.0", "30.2", "77.6", "37.6", "989.0", "0.0", ""
"22/07/09", "217", "0.7", "27.2", "89.8", "31.2", "988.6", "0.2", ""
"22/07/14", "106", "1.2", "28.3", "86.8", "34.0", "987.6", "7.6", ""
"22/08/09", "231", "1.1", "25.3", "96.2", "26.2", "987.9", "16.0", ""
"22/09/14", "205", "0.4", "27.1", "91.5", "31.3", "993.3", "49.4", ""
"22/09/15", "206", "1.1", "28.0", "83.3", "32.5", "991.3", "0.0", ""
"22/10/12", "47", "2.5", "26.0", "67.7", "27.2", "996.5", "0.0", ""
"22/11/09", "46", "0.6", "26.3", "73.9", "27.9", "997.6", "0.0", ""
"22/11/11", "46", "0.4", "27.7", "71.6", "30.3", "996.1", "0.0", ""
"22/11/19", "44", "2.4", "27.9", "72.8", "30.9", "994.0", "0.0", ""
"22/12/06", "43", "2.5", "23.7", "71.5", "24.6", "997.0", "0.0", ""
"22/12/14", "36", "4.2", "20.5", "64.5", "23.9", "999.7", "0.0", ""
"22/12/20", "30", "0.9", "21.8", "71.4", "23.3", "996.4", "0.0", ""
"Average", "112", "1.4", "26.4", "77.1", "28.2", "993.3", "", "-"
"Minimum", "", "", "20.5", "53.5", "20.3", "986.3", "", "-"
"Day", "", "", "22/12/14", "22/04/09", "22/02/16", "22/07/02", "", ""
"Maximum", "47", "5.2", "30.3", "96.2", "37.6", "999.7", "137.8", "-"
"Day", "", "22/03/08", "22/03/06", "22/08/09", "22/07/05", "22/12/14", "14 days", ""
