"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/11", "244", "0.6", "23.7", "69.1", "24.7", "977.2", "0.0", ""
"22/02/24", "210", "1.3", "24.6", "65.8", "25.6", "980.2", "0.0", ""
"22/05/23", "238", "1.4", "28.9", "75.3", "33.5", "967.6", "0.2", ""
"22/05/24", "237", "1.3", "27.4", "83.6", "31.2", "971.3", "3.4", ""
"22/06/18", "249", "0.8", "28.7", "73.1", "32.7", "972.2", "0.0", ""
"22/09/05", "12", "0.3", "25.3", "97.0", "26.4", "972.7", "15.8", ""
"22/11/10", "256", "0.4", "22.3", "86.3", "21.4", "979.3", "0.0", ""
"22/11/11", "237", "0.4", "24.1", "78.3", "24.5", "977.7", "0.0", ""
"22/11/12", "237", "0.6", "24.0", "78.8", "24.4", "976.8", "0.0", ""
"22/11/13", "233", "0.5", "25.5", "77.2", "26.7", "976.6", "0.0", ""
"22/11/25", "258", "0.4", "25.7", "90.4", "27.2", "976.1", "10.8", ""
"Average", "219", "0.7", "25.5", "79.5", "26.7", "975.2", "", "-"
"Minimum", "", "", "22.3", "65.8", "21.4", "967.6", "", "-"
"Day", "", "", "22/11/10", "22/02/24", "22/11/10", "22/05/23", "", ""
"Maximum", "237", "1.4", "28.9", "97.0", "33.5", "980.2", "30.2", "-"
"Day", "", "22/05/23", "22/05/23", "22/09/05", "22/05/23", "22/02/24", "4 days", ""
