"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/11", "196", "1.8", "25.3", "63.9", "26.3", "1010.8", "0.0", ""
"22/02/06", "344", "2.1", "26.4", "70.4", "28.0", "1011.1", "0.0", ""
"22/02/08", "185", "2.6", "29.1", "65.5", "32.2", "1009.0", "0.0", ""
"22/02/09", "155", "3.0", "29.1", "70.8", "33.1", "1009.4", "0.0", ""
"22/03/08", "295", "2.1", "27.3", "77.4", "30.1", "1007.3", "0.6", ""
"22/04/12", "257", "2.4", "30.5", "66.6", "35.5", "1003.0", "0.0", ""
"22/05/11", "195", "2.4", "28.4", "79.8", "33.1", "1004.4", "14.6", ""
"22/05/13", "258", "2.5", "29.7", "72.3", "34.8", "1003.3", "0.0", ""
"22/05/25", "261", "3.7", "29.8", "71.6", "34.9", "1004.7", "1.6", ""
"22/06/15", "233", "2.0", "29.4", "72.8", "34.2", "1005.3", "0.0", ""
"22/06/16", "192", "1.5", "29.7", "74.4", "35.3", "1007.2", "0.0", ""
"22/07/13", "283", "3.8", "27.5", "73.6", "30.1", "1000.8", "0.4", ""
"22/08/10", "265", "4.5", "28.6", "74.0", "32.5", "1002.0", "1.2", ""
"22/09/13", "289", "2.8", "28.3", "78.9", "32.6", "1006.0", "22.6", ""
"22/10/12", "316", "2.4", "28.2", "77.7", "32.2", "1007.7", "0.0", ""
"22/10/15", "348", "5.9", "25.9", "73.0", "27.3", "1006.2", "0.0", ""
"22/10/16", "318", "5.1", "23.2", "82.5", "23.1", "1009.0", "1.2", ""
"22/11/10", "323", "3.4", "27.1", "70.0", "29.1", "1008.3", "0.0", ""
"22/11/19", "325", "3.6", "28.6", "78.2", "33.3", "1005.1", "0.0", ""
"22/12/01", "340", "2.9", "28.0", "77.9", "31.8", "1006.4", "0.0", ""
"22/12/14", "332", "4.7", "22.6", "66.6", "24.1", "1011.7", "0.0", ""
"Average", "272", "3.1", "27.7", "73.2", "30.6", "1006.6", "", "-"
"Minimum", "", "", "22.6", "63.9", "23.1", "1000.8", "", "-"
"Day", "", "", "22/12/14", "22/01/11", "22/10/16", "22/07/13", "", ""
"Maximum", "348", "5.9", "30.5", "82.5", "35.5", "1011.7", "42.2", "-"
"Day", "", "22/10/15", "22/04/12", "22/10/16", "22/04/12", "22/12/14", "7 days", ""
