"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/11", "220", "0.4", "25.1", "71.1", "26.1", "1008.1", "0.0", ""
"22/02/09", "63", "1.1", "29.1", "70.8", "33.1", "1006.7", "0.0", ""
"22/02/22", "107", "1.4", "23.7", "77.9", "24.1", "1010.7", "0.0", ""
"22/03/09", "116", "1.0", "29.5", "68.0", "33.4", "1004.9", "0.0", ""
"22/03/13", "193", "3.4", "32.3", "64.7", "39.5", "1002.7", "0.0", ""
"22/04/13", "176", "2.7", "32.3", "60.5", "37.9", "1000.8", "0.0", ""
"22/05/18", "151", "2.4", "27.1", "90.4", "31.1", "1005.2", "22.0", ""
"22/05/27", "225", "2.5", "29.6", "72.0", "34.5", "999.6", "4.8", ""
"22/07/18", "199", "1.3", "30.4", "75.9", "37.7", "1000.4", "1.6", ""
"22/07/20", "122", "0.9", "28.5", "86.9", "34.8", "1000.8", "2.2", ""
"22/07/23", "128", "0.8", "27.7", "91.1", "32.8", "1004.6", "0.2", ""
"22/08/09", "204", "1.3", "26.8", "89.8", "30.1", "1001.5", "12.6", ""
"22/08/22", "166", "2.5", "28.2", "84.8", "33.5", "1002.4", "5.4", ""
"22/09/14", "143", "1.4", "28.4", "86.0", "34.3", "1005.6", "0.0", ""
"22/09/15", "179", "1.7", "28.2", "84.6", "33.5", "1003.6", "16.0", ""
"22/09/21", "29", "0.5", "28.1", "86.7", "33.5", "1003.4", "0.4", ""
"22/10/02", "124", "1.9", "28.5", "83.9", "34.2", "1004.2", "17.8", ""
"22/10/11", "147", "1.0", "26.3", "83.8", "28.5", "1009.5", "0.0", ""
"22/10/22", "82", "1.3", "28.8", "76.1", "33.4", "1009.5", "0.0", ""
"22/10/29", "1", "0.9", "26.6", "74.6", "28.4", "1007.5", "0.0", ""
"22/11/10", "351", "1.2", "26.5", "70.4", "28.1", "1009.0", "0.0", ""
"22/12/13", "169", "1.6", "21.9", "78.1", "22.4", "1010.5", "0.0", ""
"22/12/15", "331", "1.0", "22.1", "74.9", "23.0", "1008.3", "0.0", ""
"Average", "158", "1.5", "27.6", "78.4", "31.0", "1005.2", "", "-"
"Minimum", "", "", "21.9", "60.5", "22.4", "999.6", "", "-"
"Day", "", "", "22/12/13", "22/04/13", "22/12/13", "22/05/27", "", ""
"Maximum", "193", "3.4", "32.3", "91.1", "39.5", "1010.7", "83.0", "-"
"Day", "", "22/03/13", "22/03/13", "22/07/23", "22/03/13", "22/02/22", "10 days", ""
