"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/13", "85", "1.3", "23.2", "83.4", "23.0", "989.2", "0.0", ""
"22/01/18", "81", "1.7", "23.1", "82.8", "22.9", "988.2", "0.0", ""
"22/01/19", "79", "1.7", "21.8", "84.2", "21.4", "986.5", "0.0", ""
"22/01/20", "102", "2.2", "22.5", "82.5", "22.3", "985.6", "20.2", ""
"22/01/21", "97", "1.9", "22.3", "85.6", "21.6", "985.6", "0.0", ""
"22/02/15", "76", "1.6", "23.5", "69.6", "24.5", "984.4", "0.0", ""
"22/02/19", "120", "2.6", "24.9", "90.2", "25.4", "983.5", "3.8", ""
"22/02/28", "89", "1.4", "24.6", "69.1", "25.6", "987.4", "0.0", ""
"22/03/03", "88", "1.6", "26.4", "74.1", "28.1", "985.7", "0.0", ""
"22/04/20", "99", "2.3", "27.9", "74.7", "31.1", "984.8", "42.6", ""
"22/04/28", "88", "2.4", "28.1", "78.9", "32.2", "983.0", "34.8", ""
"22/04/29", "82", "1.5", "29.3", "77.6", "35.1", "982.4", "0.0", ""
"22/04/30", "87", "1.9", "26.9", "86.0", "30.1", "982.8", "19.4", ""
"22/05/30", "118", "2.2", "28.4", "79.8", "33.0", "979.5", "0.0", ""
"22/06/01", "162", "1.8", "26.3", "88.1", "28.7", "981.7", "4.0", ""
"22/06/10", "106", "2.7", "26.6", "88.7", "29.5", "982.1", "4.8", ""
"22/07/05", "116", "2.2", "26.9", "87.8", "30.2", "980.7", "0.2", ""
"22/07/23", "101", "2.3", "27.1", "84.1", "30.3", "983.6", "0.2", ""
"22/07/25", "91", "1.5", "25.3", "94.0", "26.4", "984.2", "0.4", ""
"22/07/26", "113", "2.0", "27.0", "87.8", "30.5", "983.5", "0.2", ""
"22/08/03", "114", "2.3", "28.7", "81.5", "34.1", "982.2", "0.2", ""
"22/08/07", "114", "3.1", "27.5", "86.3", "31.6", "979.4", "11.0", ""
"22/08/08", "126", "2.2", "25.3", "93.0", "26.3", "981.3", "38.6", ""
"22/08/19", "126", "2.2", "27.1", "86.3", "30.6", "982.5", "0.6", ""
"22/08/31", "264", "1.8", "28.6", "83.3", "34.2", "983.3", "0.0", ""
"22/09/17", "179", "2.0", "26.8", "88.1", "30.0", "981.9", "1.0", ""
"22/09/27", "163", "1.8", "26.5", "88.5", "29.1", "982.3", "0.2", ""
"22/10/05", "25", "1.7", "25.8", "89.5", "27.6", "987.2", "0.0", ""
"22/10/10", "26", "1.2", "25.5", "93.2", "26.8", "988.3", "8.8", ""
"22/10/25", "326", "1.3", "26.4", "87.5", "28.8", "987.2", "0.2", ""
"22/11/06", "1", "1.2", "23.8", "84.2", "23.7", "989.6", "0.0", ""
"22/11/15", "9", "2.0", "25.2", "85.8", "26.1", "986.1", "0.0", ""
"22/12/01", "45", "1.6", "24.0", "91.6", "23.4", "986.7", "19.6", ""
"22/12/10", "85", "1.1", "24.8", "88.5", "25.2", "986.1", "0.4", ""
"22/12/18", "86", "2.3", "21.3", "81.4", "21.4", "989.4", "0.0", ""
"Average", "105", "1.9", "25.7", "84.5", "27.2", "984.5", "", "-"
"Minimum", "", "", "21.3", "69.1", "21.4", "979.4", "", "-"
"Day", "", "", "22/12/18", "22/02/28", "22/01/19", "22/08/07", "", ""
"Maximum", "114", "3.1", "29.3", "94.0", "35.1", "989.6", "211.2", "-"
"Day", "", "22/08/07", "22/04/29", "22/07/25", "22/04/29", "22/11/06", "21 days", ""
