"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/02/05", "2", "1.7", "20.1", "81.8", "20.7", "986.8", "0.8", ""
"22/02/07", "333", "1.7", "23.9", "67.4", "25.0", "982.5", "0.0", ""
"22/02/14", "8", "1.6", "22.7", "89.8", "21.4", "982.5", "0.0", ""
"22/02/15", "341", "1.5", "22.6", "87.7", "21.6", "981.9", "1.2", ""
"22/03/08", "350", "1.3", "24.8", "75.0", "25.7", "982.8", "0.2", ""
"22/04/03", "355", "1.5", "21.9", "76.9", "22.6", "987.8", "0.0", ""
"22/04/13", "341", "1.8", "27.6", "71.8", "30.1", "976.6", "0.0", ""
"22/04/26", "335", "2.1", "28.2", "79.4", "32.4", "977.2", "0.4", ""
"22/04/27", "330", "1.9", "29.2", "75.8", "34.4", "977.3", "0.0", ""
"22/04/28", "345", "1.0", "26.4", "89.4", "29.0", "977.2", "0.0", ""
"22/05/19", "31", "1.5", "25.9", "93.2", "27.9", "979.1", "3.0", ""
"22/05/21", "31", "3.0", "26.7", "88.4", "29.9", "972.6", "0.6", ""
"22/06/13", "353", "1.7", "29.7", "71.6", "34.7", "977.5", "0.0", ""
"22/06/15", "14", "1.6", "26.0", "90.3", "28.1", "980.2", "19.4", ""
"22/06/16", "12", "1.6", "25.1", "92.5", "25.9", "980.4", "22.6", ""
"22/06/17", "18", "2.2", "28.7", "76.2", "33.2", "978.8", "0.2", ""
"22/06/27", "341", "1.8", "29.0", "76.1", "34.0", "978.3", "0.0", ""
"22/07/06", "14", "1.6", "27.2", "91.4", "31.6", "976.7", "9.0", ""
"22/07/13", "335", "2.0", "24.9", "97.2", "25.2", "974.3", "72.8", ""
"22/07/31", "359", "1.8", "28.2", "80.9", "32.7", "974.2", "0.6", ""
"22/08/07", "18", "1.6", "25.9", "93.4", "27.9", "976.2", "10.8", ""
"22/08/10", "3", "1.8", "27.1", "86.0", "30.5", "972.6", "0.0", ""
"22/08/11", "32", "1.1", "26.9", "89.5", "30.5", "972.5", "5.0", ""
"22/08/19", "11", "1.4", "27.5", "90.1", "32.3", "975.7", "11.2", ""
"22/09/14", "352", "1.7", "27.7", "84.4", "32.0", "980.1", "7.4", ""
"22/09/15", "11", "0.7", "28.0", "84.8", "32.8", "977.8", "0.2", ""
"22/10/07", "17", "0.7", "27.3", "86.4", "31.2", "982.5", "0.4", ""
"22/10/09", "339", "1.3", "25.1", "93.8", "25.9", "984.2", "34.4", ""
"22/10/12", "5", "0.9", "25.5", "85.1", "26.9", "983.5", "0.0", ""
"22/10/13", "7", "1.0", "25.9", "83.3", "27.6", "981.9", "0.0", ""
"22/10/29", "5", "1.3", "24.3", "78.7", "24.9", "983.3", "0.0", ""
"22/10/30", "7", "0.7", "25.1", "80.9", "26.0", "982.5", "0.0", ""
"22/11/07", "341", "1.1", "23.4", "81.6", "23.5", "985.0", "0.0", ""
"22/11/08", "2", "1.0", "23.6", "80.4", "23.8", "985.1", "0.0", ""
"22/12/14", "15", "1.5", "19.8", "72.9", "22.7", "985.0", "0.0", ""
"22/12/28", "359", "0.9", "21.1", "74.6", "22.6", "987.1", "0.0", ""
"22/12/29", "8", "1.4", "21.3", "75.5", "22.5", "988.8", "0.0", ""
"22/12/30", "12", "1.3", "20.8", "72.5", "22.8", "989.6", "0.0", ""
"22/12/31", "20", "1.7", "20.2", "72.3", "22.8", "989.5", "0.0", ""
"Average", "149", "1.5", "25.3", "82.5", "26.3", "980.7", "", "-"
"Minimum", "", "", "19.8", "67.4", "20.7", "972.5", "", "-"
"Day", "", "", "22/12/14", "22/02/07", "22/02/05", "22/08/11", "", ""
"Maximum", "31", "3.0", "29.7", "97.2", "34.7", "989.6", "200.2", "-"
"Day", "", "22/05/21", "22/06/13", "22/07/13", "22/06/13", "22/12/30", "19 days", ""
