"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/04/05", "97", "0.3", "27.3", "73.7", "29.7", "1005.2", "0.0", ""
"22/05/05", "50", "0.4", "27.4", "80.6", "30.7", "1000.9", "0.0", ""
"22/05/08", "92", "0.5", "28.1", "87.4", "33.6", "1000.9", "0.0", ""
"22/05/13", "202", "1.8", "30.4", "76.4", "37.8", "999.8", "0.0", ""
"22/05/19", "150", "1.3", "29.2", "80.1", "35.3", "1001.7", "0.0", ""
"22/06/22", "238", "0.9", "30.3", "72.3", "36.4", "1001.8", "0.0", ""
"22/10/05", "115", "0.0", "0.0", "0.0", "-8.8", "1003.0", "0.0", ""
"22/10/31", "62", "0.0", "0.0", "0.0", "-8.8", "1002.9", "0.0", ""
"22/11/07", "122", "0.3", "26.2", "71.2", "27.6", "1004.7", "2.2", ""
"22/11/11", "104", "0.5", "27.9", "71.5", "30.7", "1003.3", "0.0", ""
"22/11/18", "190", "0.7", "25.6", "86.9", "27.0", "1001.8", "1.4", ""
"Average", "129", "0.6", "22.9", "63.6", "24.5", "1002.4", "", "-"
"Minimum", "", "", "0.0", "0.0", "-8.8", "999.8", "", "-"
"Day", "", "", "22/10/05", "22/10/05", "22/10/05", "22/05/13", "", ""
"Maximum", "202", "1.8", "30.4", "87.4", "37.8", "1005.2", "3.6", "-"
"Day", "", "22/05/13", "22/05/13", "22/05/08", "22/05/13", "22/04/05", "2 days", ""
