"Date", "Wind Dir", "Wind Speed", "Temp.", "Humi.", "heatidx", "Pres.", "Prec.", "Vis."
"22/01/12", "146", "1.6", "27.2", "64.7", "28.7", "1010.5", "0.0", ""
"22/02/06", "359", "2.1", "26.7", "64.9", "28.0", "1009.1", "0.0", ""
"22/02/09", "164", "2.5", "29.4", "73.4", "34.3", "1007.3", "0.0", ""
"22/02/27", "12", "1.7", "27.6", "53.8", "28.3", "1008.5", "0.0", ""
"22/02/28", "187", "1.7", "28.9", "64.6", "31.6", "1007.3", "0.0", ""
"22/03/08", "54", "2.5", "27.1", "74.6", "29.4", "1006.7", "0.0", ""
"22/03/11", "165", "2.9", "30.6", "72.4", "37.4", "1003.2", "0.0", ""
"22/03/25", "160", "3.9", "29.8", "79.1", "36.8", "1005.6", "0.0", ""
"22/03/27", "168", "3.9", "31.7", "72.1", "40.4", "1005.1", "0.0", ""
"22/04/05", "0", "1.4", "28.3", "62.7", "30.2", "1008.8", "0.0", ""
"22/04/15", "0", "3.8", "32.2", "59.9", "37.5", "1002.4", "0.0", ""
"22/04/28", "114", "4.2", "27.9", "84.0", "32.6", "1005.3", "45.6", ""
"22/05/11", "174", "3.7", "29.9", "78.3", "37.0", "1004.0", "0.0", ""
"22/05/22", "172", "4.9", "28.5", "79.0", "33.3", "998.8", "0.0", ""
"22/06/07", "189", "3.8", "29.0", "72.9", "33.2", "1004.0", "0.0", ""
"22/06/14", "166", "3.5", "30.5", "76.5", "38.3", "1004.1", "0.0", ""
"22/06/29", "182", "2.8", "30.6", "72.7", "37.3", "1000.3", "0.4", ""
"22/07/14", "164", "2.6", "28.7", "78.0", "33.6", "1000.4", "0.0", ""
"22/08/10", "186", "2.7", "29.0", "79.6", "34.5", "1000.9", "0.6", ""
"22/09/05", "159", "3.0", "28.0", "86.4", "33.2", "1004.3", "1.8", ""
"22/09/13", "146", "2.3", "28.9", "82.8", "35.2", "1005.7", "0.0", ""
"22/10/05", "21", "1.9", "27.5", "88.9", "32.0", "1006.3", "8.8", ""
"22/10/06", "44", "1.8", "27.6", "87.4", "32.2", "1006.6", "7.6", ""
"22/10/07", "20", "1.8", "27.1", "89.7", "30.9", "1006.8", "0.4", ""
"22/10/08", "15", "2.0", "28.0", "87.5", "33.2", "1006.9", "4.4", ""
"22/10/10", "59", "4.4", "27.5", "79.5", "30.9", "1008.4", "4.8", ""
"22/10/13", "58", "2.5", "27.8", "70.2", "30.3", "1005.9", "0.0", ""
"22/10/23", "26", "2.7", "28.7", "69.5", "32.0", "1007.6", "0.0", ""
"22/11/10", "1", "2.7", "28.0", "66.7", "30.2", "1007.6", "0.0", ""
"22/11/18", "351", "1.2", "26.5", "92.5", "29.7", "1006.2", "50.0", ""
"22/11/29", "29", "1.5", "28.6", "83.8", "34.4", "1006.0", "0.0", ""
"22/11/30", "338", "2.3", "27.3", "88.1", "31.5", "1006.0", "23.4", ""
"22/12/14", "48", "4.6", "23.4", "57.0", "25.0", "1009.5", "0.0", ""
"22/12/17", "54", "7.3", "25.2", "61.3", "26.1", "1009.1", "0.0", ""
"22/12/18", "45", "7.1", "22.4", "49.1", "25.0", "1012.5", "0.0", ""
"Average", "119", "3.0", "28.2", "74.4", "31.7", "1005.9", "", "-"
"Minimum", "", "", "22.4", "49.1", "25.0", "998.8", "", "-"
"Day", "", "", "22/12/18", "22/12/18", "22/12/18", "22/05/22", "", ""
"Maximum", "54", "7.3", "32.2", "92.5", "40.4", "1012.5", "147.8", "-"
"Day", "", "22/12/17", "22/04/15", "22/11/18", "22/03/27", "22/12/18", "11 days", ""
